District,State,Hispanic,White,Black,AmericanIndian,Asian,PacificIslander,Other,Multiple races,Total
4,Massachusetts,"35,802","631,139","20,379",256,"44,168",92,"3,652","14,843","750,331"
5,Massachusetts,"63,359","556,196","35,669",965,"83,586",323,"5,641","20,183","765,922"
6,Massachusetts,"65,669","624,787","23,653",896,"31,181",0,"3,221","11,759","761,166"
7,Massachusetts,"170,301","314,589","190,074",712,"78,082",47,"6,528","17,255","777,588"
8,Massachusetts,"44,948","565,172","68,296",190,"60,196",0,"10,671","15,316","764,789"
9,Massachusetts,"36,898","639,675","21,326",659,"13,005",0,"11,640","16,279","739,482"
1,Michigan,"13,902","636,985","11,232","17,380","4,619",386,359,"15,273","700,136"
2,Michigan,"68,231","578,546","47,273","3,095","15,259",0,"1,624","17,160","731,188"
3,Michigan,"53,438","580,627","57,289","2,611","15,325",278,708,"20,147","730,423"
4,Michigan,"22,859","641,244","13,364","5,478","6,620",741,453,"10,876","701,635"
5,Michigan,"32,146","506,729","113,760","1,263","7,143",0,360,"21,315","682,716"
6,Michigan,"42,483","577,519","57,357","2,354","10,623",112,614,"22,582","713,644"
7,Michigan,"29,680","613,946","29,461","2,177","6,971",290,768,"14,334","697,627"
8,Michigan,"35,125","603,939","37,576","1,061","30,685",410,376,"19,609","728,781"
9,Michigan,"15,540","555,443","95,603","2,789","29,744",175,"2,197","16,150","717,641"
10,Michigan,"23,752","644,244","19,356",947,"12,587",81,500,"14,068","715,535"
11,Michigan,"25,826","559,802","43,852","2,105","72,723",0,"1,874","14,403","720,585"
12,Michigan,"41,084","533,181","72,960","1,557","39,045",206,"1,243","18,744","708,020"
13,Michigan,"48,394","231,787","375,320","1,725","9,174",341,"2,141","10,353","679,235"
14,Michigan,"33,512","222,427","388,679","1,514","31,780",215,"2,114","15,169","695,410"
1,Minnesota,"41,507","579,022","18,333","1,471","18,466",90,409,"9,443","668,741"
2,Minnesota,"40,193","570,472","27,710","2,301","32,847",151,619,"20,736","695,029"
3,Minnesota,"30,328","551,676","50,206","1,485","48,752",264,"1,680","15,730","700,121"
4,Minnesota,"46,970","475,775","68,243","2,946","84,789",181,786,"24,468","704,158"
5,Minnesota,"65,842","444,415","117,612","5,050","45,064",0,"2,009","27,586","707,578"
6,Minnesota,"18,238","618,152","16,597","2,432","16,312",42,332,"14,929","687,034"
7,Minnesota,"27,829","592,451","8,356","18,953","6,153",561,266,"8,694","663,263"
8,Minnesota,"11,133","609,677","6,100","15,596","4,676",231,224,"16,033","663,670"
1,Mississippi,"24,742","510,123","209,126",656,"4,839",402,664,"8,213","758,765"
2,Mississippi,"13,701","219,675","480,010","1,710","5,012",0,383,"3,584","724,075"
3,Mississippi,"16,026","451,096","256,406","6,924","8,676",265,409,"5,673","745,475"
4,Mississippi,"31,289","524,150","180,784","2,069","12,013",70,230,"13,413","764,018"
1,Missouri,"26,755","303,085","360,477",698,"22,456",562,941,"21,081","736,055"
2,Missouri,"20,096","668,934","28,378","1,642","33,289",223,587,"14,382","767,531"
3,Missouri,"16,735","707,856","25,864","2,418","9,256",119,829,"11,822","774,899"
4,Missouri,"28,741","660,152","38,881","2,968","11,600",410,628,"19,383","762,763"
5,Missouri,"67,416","485,175","164,814","3,145","14,990","2,429","1,413","18,538","757,920"
6,Missouri,"29,487","674,375","34,776","2,492","7,495",533,115,"16,394","765,667"
7,Missouri,"38,389","680,176","13,667","6,996","10,462","1,150",134,"19,099","770,073"
8,Missouri,"12,794","679,015","37,930","2,367","4,364",96,0,"12,198","748,764"
1,Montana,"37,302","894,545","4,289","62,709","8,643","1,034",141,"24,286","1,032,949"
1,Nebraska,"57,948","524,560","18,863","6,978","15,298",604,142,"13,927","638,320"
2,Nebraska,"71,614","477,844","63,369","3,014","20,406",74,"1,608","14,941","652,870"
3,Nebraska,"67,406","515,616","6,086","4,628","3,831",148,504,"6,781","605,000"
1,Nevada,"328,432","215,819","68,431","2,619","59,521","4,072","2,667","21,738","703,299"
2,Nevada,"158,039","469,654","12,635","12,754","25,935","3,097",991,"23,359","706,464"
3,Nevada,"125,431","434,976","52,954","3,807","101,839","5,390","2,041","32,238","758,676"
4,Nevada,"201,492","340,239","102,548","5,262","41,011","3,665","1,223","26,966","722,406"
1,New Hampshire,"24,624","611,349","10,813",297,"12,185",165,930,"11,277","671,640"
2,New Hampshire,"19,731","598,668","7,682",872,"21,589",89,274,"10,063","658,968"
1,New Jersey,"96,234","463,191","117,560",204,"39,283",330,"2,868","19,238","738,908"
2,New Jersey,"116,410","474,091","82,949","1,339","29,164",66,209,"16,865","721,093"
3,New Jersey,"59,066","555,385","74,561",476,"26,604",0,544,"18,700","735,336"
4,New Jersey,"77,297","574,283","44,888",167,"32,962",423,"2,522","9,589","742,131"
5,New Jersey,"94,463","526,277","35,373",968,"74,725",802,"1,149","9,667","743,424"
6,New Jersey,"162,318","357,213","75,991","1,234","142,059",204,"1,738","12,954","753,711"
7,New Jersey,"84,610","536,473","31,395",136,"75,692",0,"1,941","12,880","743,127"
8,New Jersey,"422,100","192,791","69,790","1,067","63,030",414,"7,194","11,066","767,452"
9,New Jersey,"277,849","291,104","71,538",848,"107,008",265,"1,353","10,875","760,840"
10,New Jersey,"158,884","155,527","372,424",737,"57,453",149,"8,073","11,437","764,684"
11,New Jersey,"84,689","540,496","26,656",151,"70,673",37,393,"12,562","735,657"
12,New Jersey,"128,259","353,976","131,101",641,"123,568",17,"4,169","9,919","751,650"
1,New Mexico,"340,991","277,223","16,336","25,530","15,339",296,"1,461","13,395","690,571"
2,New Mexico,"378,411","262,515","13,433","34,652","5,252",137,922,"8,405","703,727"
3,New Mexico,"281,862","258,371","11,828","117,347","6,951",426,"1,210","12,816","690,811"
1,New York,"107,873","543,986","37,260","1,422","26,443",0,"2,297","7,308","726,589"
